Category,Label,x,y,width,height,points
ff10,48052.jpg,338.5000,179.0000,345.0000,292.0000,"[[166, 279], [166, 308], [179, 315], [261, 325], [327, 324], [355, 307], [373, 286], [458, 223], [454, 203], [501, 164], [511, 160], [511, 126], [462, 140], [444, 140], [405, 124], [377, 118], [320, 83], [329, 60], [317, 43], [280, 55], [222, 33], [219, 37], [220, 57], [242, 71], [235, 85], [214, 77], [211, 80], [190, 197]]"
ff11,10897.jpg,178.0000,242.5000,194.0000,229.0000,"[[82, 183], [81, 244], [96, 270], [102, 316], [108, 321], [114, 318], [125, 323], [136, 341], [142, 344], [169, 346], [198, 357], [203, 357], [213, 346], [221, 353], [227, 352], [236, 326], [252, 299], [255, 284], [261, 277], [271, 274], [275, 263], [274, 226], [267, 214], [264, 194], [250, 169], [243, 163], [233, 166], [213, 155], [214, 136], [211, 132], [169, 128], [160, 134], [137, 135], [118, 144]]"
ff12,87020.jpg,377.5000,165.5000,267.0000,183.0000,"[[245, 82], [244, 91], [254, 114], [254, 128], [269, 145], [284, 203], [293, 211], [322, 221], [329, 232], [350, 250], [367, 257], [448, 255], [461, 236], [511, 220], [511, 205], [481, 216], [477, 221], [467, 221], [456, 211], [469, 197], [470, 180], [463, 172], [473, 163], [470, 151], [475, 139], [503, 128], [503, 115], [483, 118], [436, 135], [416, 135], [418, 120], [459, 103], [470, 90], [471, 83], [462, 84], [422, 104], [403, 107], [377, 85], [355, 75], [328, 78], [295, 74], [288, 81], [265, 86], [259, 81]]"
ff13,3139.jpg,245.5000,198.0000,293.0000,242.0000,"[[114, 110], [111, 187], [100, 203], [99, 216], [116, 246], [112, 250], [107, 246], [101, 249], [99, 290], [102, 296], [122, 295], [131, 308], [139, 310], [175, 311], [219, 305], [236, 318], [257, 319], [272, 314], [298, 283], [307, 302], [319, 307], [370, 307], [389, 295], [392, 276], [385, 250], [388, 194], [384, 171], [377, 157], [383, 139], [375, 125], [364, 116], [355, 114], [334, 87], [319, 80], [301, 82], [292, 105], [269, 129], [260, 127], [232, 99], [218, 88], [204, 85], [199, 77], [192, 79], [183, 105], [171, 111], [150, 102]]"
ff14,57594.jpg,255.5000,190.5000,511.0000,335.0000,"[[6, 85], [10, 93], [31, 105], [77, 143], [54, 162], [45, 158], [36, 165], [44, 185], [67, 207], [53, 257], [51, 282], [48, 285], [13, 287], [9, 280], [0, 278], [0, 318], [59, 322], [78, 350], [128, 358], [152, 357], [189, 344], [210, 301], [254, 252], [267, 254], [268, 277], [277, 296], [293, 315], [310, 327], [396, 348], [415, 346], [424, 330], [423, 325], [367, 308], [325, 288], [331, 278], [369, 280], [427, 290], [448, 286], [454, 272], [448, 249], [439, 246], [411, 251], [406, 228], [442, 220], [454, 213], [455, 207], [448, 199], [441, 198], [433, 181], [455, 164], [463, 151], [464, 140], [478, 126], [511, 108], [511, 96], [493, 97], [479, 89], [441, 99], [429, 90], [432, 70], [430, 64], [422, 59], [400, 64], [367, 64], [367, 73], [361, 81], [344, 79], [331, 64], [322, 37], [316, 35], [313, 43], [278, 40], [278, 28], [274, 23], [269, 24], [262, 35], [143, 97], [138, 103], [134, 103], [126, 92], [117, 92], [117, 128], [112, 133], [96, 133], [15, 73], [8, 77]]"
ff15,108743.jpg,246.0000,193.0000,392.0000,380.0000,"[[50, 124], [50, 137], [63, 162], [111, 217], [132, 256], [121, 280], [123, 296], [129, 302], [135, 301], [173, 273], [181, 275], [193, 286], [188, 316], [158, 347], [155, 355], [164, 362], [190, 365], [197, 383], [284, 383], [404, 353], [438, 326], [437, 296], [418, 288], [415, 278], [429, 263], [432, 242], [442, 223], [423, 177], [404, 152], [407, 129], [399, 112], [393, 109], [377, 118], [370, 118], [381, 85], [381, 81], [374, 77], [360, 76], [348, 81], [339, 108], [329, 120], [273, 92], [256, 71], [257, 56], [271, 19], [267, 3], [258, 9], [244, 30], [206, 107], [178, 133], [147, 143], [109, 143], [84, 136], [59, 119]]"
ff16,93653.jpg,234.0000,198.0000,468.0000,322.0000,"[[64, 115], [61, 127], [52, 135], [0, 160], [0, 226], [73, 225], [128, 210], [133, 216], [95, 241], [84, 257], [83, 267], [89, 274], [95, 274], [181, 354], [182, 359], [201, 355], [272, 299], [319, 280], [326, 279], [332, 285], [327, 293], [331, 301], [346, 304], [365, 276], [395, 262], [418, 227], [426, 221], [440, 232], [448, 231], [456, 223], [454, 215], [424, 179], [423, 168], [435, 158], [467, 151], [468, 145], [461, 140], [406, 135], [403, 117], [372, 113], [357, 107], [344, 81], [362, 68], [364, 57], [332, 59], [326, 52], [317, 52], [298, 59], [255, 65], [247, 54], [251, 44], [261, 39], [252, 37], [156, 90], [86, 106]]"
ff17,82535.jpg,255.5000,255.5000,511.0000,511.0000,"[[293, 0], [0, 0], [0, 511], [482, 511], [511, 475], [511, 15], [505, 23], [498, 24], [462, 3], [427, 6], [415, 27], [401, 28], [391, 22], [345, 14], [332, 1]]"
ff18,143685.jpg,170.0000,164.5000,260.0000,171.0000,"[[156, 84], [130, 105], [118, 123], [54, 144], [40, 142], [57, 193], [100, 212], [116, 214], [154, 232], [155, 247], [161, 250], [175, 242], [225, 238], [260, 228], [270, 221], [300, 182], [294, 172], [294, 164], [286, 157], [286, 148], [266, 147], [257, 121], [248, 127], [201, 116], [192, 108], [183, 107], [177, 101], [179, 79]]"
ff19,50277.jpg,174.0000,180.0000,348.0000,160.0000,"[[214, 100], [182, 113], [161, 116], [140, 129], [80, 152], [64, 151], [54, 141], [44, 139], [33, 122], [20, 122], [13, 128], [0, 117], [0, 163], [15, 183], [48, 203], [80, 234], [108, 236], [122, 256], [136, 260], [203, 235], [279, 217], [337, 188], [338, 175], [348, 168], [326, 142], [310, 137], [294, 151], [278, 131], [280, 115], [277, 109], [259, 102]]"
ff20,110385.jpg,191.5000,265.5000,383.0000,315.0000,"[[61, 153], [50, 183], [51, 196], [89, 235], [86, 244], [9, 268], [0, 274], [0, 286], [6, 292], [21, 293], [54, 284], [70, 316], [91, 336], [84, 345], [31, 364], [22, 378], [32, 393], [44, 394], [100, 376], [108, 396], [83, 407], [76, 415], [76, 423], [108, 423], [141, 408], [185, 404], [221, 396], [264, 361], [368, 375], [381, 369], [379, 353], [368, 342], [292, 330], [283, 323], [289, 312], [307, 312], [311, 308], [310, 294], [304, 282], [318, 273], [308, 262], [317, 255], [321, 238], [383, 239], [383, 186], [344, 183], [335, 175], [330, 156], [268, 126], [261, 125], [251, 135], [239.5, 136], [229, 130], [225, 108], [218, 110], [192, 149], [144, 153], [136, 148], [107, 148]]"
ff20,110385.jpg,211.0000,431.5000,162.0000,75.0000,"[[130, 437], [131, 464], [139, 469], [286, 427], [292, 417], [290, 402], [283, 394], [272, 394], [242, 404], [215, 407]]"
ff21,60306.jpg,191.5000,255.5000,383.0000,511.0000,"[[10, 154], [14, 178.667], [12, 220], [8, 238], [0, 247], [0, 414], [17, 426], [21, 477], [40, 511], [122, 511], [117, 499], [116, 479], [234, 452], [238, 456], [257, 455], [279, 438], [291, 401], [314, 408], [343, 403], [360, 389], [383, 358], [383, 153], [377, 111], [370, 99], [376, 87], [374, 64], [366, 53], [340, 46], [285, 48], [277, 38], [282, 20], [273, 0], [228, 0], [218, 7], [175, 22], [51, 109], [35, 130], [36, 147], [32, 153], [13, 149]]"
ff22,87125.jpg,196.5000,289.5000,371.0000,385.0000,"[[12, 286], [11, 304], [19, 332], [24, 337], [326, 476], [343, 482], [357, 477], [369, 481], [378, 476], [378, 451], [367, 451], [354, 437], [357, 419], [325, 356], [294, 325], [271, 321], [254, 313], [273, 280], [275, 268], [251, 236], [251, 229], [285, 199], [306, 202], [319, 187], [382, 211], [382, 178], [360, 170], [340, 168], [327, 158], [301, 149], [289, 153], [233, 112], [222, 111], [212, 105], [209, 98], [199, 97], [180, 105], [168, 103], [150, 109], [128, 123], [113, 124], [100, 130], [79, 148], [69, 161], [69, 171], [56, 197], [56, 210], [41, 237], [19, 260]]"
ff23,123929.jpg,190.5000,323.0000,381.0000,376.0000,"[[1, 135], [0, 504], [45, 481], [119, 482], [151, 488], [193, 487], [204, 496], [219, 497], [253, 511], [381, 511], [381, 499], [367, 490], [381, 463], [381, 145], [377, 148], [215, 143], [191, 138], [182, 142], [168, 140], [140, 145], [47, 141], [33, 148], [9, 143]]"
ff24,106608.jpg,224.0000,207.5000,164.0000,117.0000,"[[142, 205], [146, 224], [155, 229.5], [156, 238], [170, 253], [200, 266], [232, 266], [249, 260], [259, 249], [275, 222], [283, 196], [306, 175], [306, 168], [299, 167], [281, 176], [255, 202], [249, 202], [243, 198], [243, 157], [227, 155], [225, 169], [214, 183], [206, 184], [188, 168], [179, 165], [177, 149], [170, 162], [171, 187], [168, 193], [147, 196]]"
ff25,65608.jpg,302.0000,199.5000,418.0000,349.0000,"[[98, 172], [93, 177], [93, 190], [103, 317], [119, 313], [139, 296], [147, 305], [169, 311], [177, 318], [185, 337], [178, 347], [180, 364], [186, 373], [192, 374], [227, 338], [251, 299], [265, 309], [253, 331], [254, 351], [273, 356], [299, 352], [307, 358], [305, 370], [309, 373], [346, 360], [356, 360], [371, 372], [379, 372], [383, 362], [399, 366], [407, 364], [430, 342], [428, 333], [400, 306], [400, 300], [442, 295], [476, 282], [482, 269], [473, 265], [470, 259], [477, 248], [480, 232], [511, 209], [511, 169], [489, 176], [456, 193], [452, 186], [482, 158], [495, 130], [494, 109], [511, 101], [511, 71], [403, 88], [397, 83], [402, 71], [389, 58], [370, 60], [361, 39], [322, 51], [314, 34], [296, 25], [289, 41], [270, 54], [265, 73], [258, 81], [245, 87], [222, 86], [198, 91], [172, 120], [148, 132]]"
ff26,123902.jpg,235.5000,164.0000,337.0000,262.0000,"[[68, 134], [67, 144], [79, 158.667], [81, 177], [107, 188], [118, 198], [121, 207], [96, 212], [91, 220], [94, 230], [134, 240], [142, 248], [136, 257], [158, 267], [167, 277], [207, 273], [228, 278], [230, 283], [259, 295], [284, 263], [297, 276], [307, 276], [313, 271], [316, 246], [303, 220], [302, 192], [315, 167], [344, 148], [380, 147], [386, 132], [402, 131], [404, 125], [389, 108], [370, 95], [300, 62], [277, 60], [193, 38], [187, 33], [164, 58], [151, 44], [144, 45], [144, 74], [140, 88], [131, 99], [105, 75], [96, 73], [92, 76], [82, 94], [90, 118]]"
ff27,82946.jpg,170.5000,255.5000,341.0000,511.0000,"[[45, 0], [47, 8], [23, 35], [19, 31], [0, 34], [0, 511], [341, 511], [341, 0]]"
ff28,143158.jpg,158.0000,271.5000,316.0000,365.0000,"[[136, 122], [113, 194], [87, 243], [22, 341], [0, 368], [0, 387], [23, 387], [29, 396], [0, 425], [0, 442], [9, 447], [22, 447], [37, 434], [143, 431], [173, 454], [197, 447], [236, 416], [316, 271], [314, 240], [290, 196], [282, 188], [270, 199], [255, 198], [249, 192], [300, 117], [302, 99], [297, 89], [289, 90], [269, 107], [195, 106], [186, 103], [176, 122], [167, 122], [166, 116], [160, 112], [147, 112]]"
ff29,80865.jpg,191.5000,255.5000,383.0000,511.0000,"[[5, 0], [22, 30], [61, 81], [52, 89], [38, 92], [0, 114], [0, 511], [164, 511], [173, 471], [181, 460], [200, 469], [233, 472], [240, 481], [271, 478], [283, 487], [281, 511], [383, 511], [383, 40], [331, 24], [322, 25], [309, 36], [296, 20], [297, 0], [82, 0], [79, 24], [88, 38], [76, 45], [63, 45], [47, 29], [35, 0]]"
ff30,107312.jpg,190.5000,241.0000,381.0000,314.0000,"[[12, 187], [15, 193], [25, 197], [25, 214], [0, 213], [0, 223], [7, 226], [18, 254], [42, 273], [42, 282], [21, 308], [0, 310], [0, 346], [36, 326], [77, 286], [87, 297], [78, 325], [66, 347], [67, 365], [73, 370], [81, 359], [95, 366], [100, 376], [119, 390], [125, 389], [130, 382], [146, 386], [153, 379], [163, 385], [159, 393], [161, 398], [193, 396], [211, 385], [228, 386], [237, 391], [263, 389], [279, 377], [304, 340], [329, 312], [362, 283], [381, 276], [369, 198], [373, 193], [368, 187], [239, 131], [214, 110], [198, 109], [201, 120], [195, 125], [173, 117], [159, 106], [142, 84], [137, 86], [136, 93], [150, 136], [145, 146], [125, 153], [101, 168], [98, 176], [102, 185], [94.5, 194], [82, 194], [69, 185], [50, 179], [23, 180]]"
ff1,100148.jpg,313.0000,214.0000,374.0000,306.0000,"[[127, 294], [126, 306], [131, 310], [208, 340], [318, 363], [365, 367], [377, 355], [391, 328], [415, 326], [427, 320], [436, 277], [458, 252], [472, 218], [487, 194], [484, 173], [477, 159], [468, 151], [468, 146], [479, 138], [497, 138], [500, 134], [475, 108], [440, 92], [440, 87], [453, 78], [448, 65], [442, 61], [433, 61], [422, 69], [397, 65], [351, 87], [341, 87], [313, 71], [284, 66], [281, 79], [224, 109], [211, 112], [212, 124], [242, 137], [247, 143], [231, 155], [209, 160], [203, 170], [188, 167], [184, 171], [161, 207]]"
ff5,51678.jpg,191.5000,255.5000,383.0000,511.0000,"[[27, 201], [27, 209], [56, 245], [61, 260], [56, 265], [0, 262], [0, 446], [34, 426], [172, 481], [195, 497], [236, 511], [383, 511], [383, 231], [325, 232], [322, 229], [316, 187], [327, 177], [334, 176], [335, 162], [356, 153], [359, 144], [342, 128], [317, 128], [306, 133], [298, 128], [296, 122], [296, 113], [307, 99], [336, 96], [350, 86], [344, 77], [323, 65], [326, 58], [345, 50], [345, 39], [339, 29], [332, 26], [286, 27], [281, 12], [264, 8], [215, 35], [173, 51], [165, 36], [171, 33], [167, 18], [154, 10], [147, 0], [124, 0], [103, 74], [98, 80], [87, 82], [88, 105], [84, 113]]"
ff6,80887.jpg,200.5000,307.0000,365.0000,342.0000,"[[28, 155], [30, 174], [57, 206], [65, 234], [75, 248], [64, 259], [46, 292], [20, 317], [18, 371], [21, 422], [26, 436], [49, 448], [55, 441], [54, 420], [96, 408], [104, 416], [111, 460], [121, 472], [129, 475], [141, 442], [161, 408], [168, 404], [198, 444], [233, 478], [252, 462], [377, 436], [383, 442], [383, 321], [339, 300], [331, 253], [318, 238], [317, 226], [311, 221], [315, 201], [295, 201], [283, 197], [280, 191], [255, 185], [261, 157], [260, 136], [255, 137], [246, 151], [49, 154], [34, 151]]"
ff7,85375.jpg,190.5000,322.0000,381.0000,378.0000,"[[14, 251], [6, 272], [0, 277], [0, 403], [5, 409], [63, 440], [92, 442], [153, 488], [169, 493], [210, 496], [252, 511], [289, 511], [293, 506], [292, 498], [281, 485], [283, 477], [334, 448], [378, 415], [378, 369], [372, 367], [356, 374], [352, 368], [371, 309], [381, 253], [378, 158], [370, 162], [360, 179], [348, 173], [329, 171], [320, 182], [312, 185], [301, 174], [282, 169], [262, 170], [256, 162], [260, 139], [249, 133], [232, 133], [200, 161], [173, 165], [127, 179], [108, 179], [60, 188]]"
ff8,51368.jpg,192.5000,256.0000,385.0000,502.0000,"[[221, 11], [194, 24], [0, 94], [0, 121], [39, 121], [43, 131], [41, 136], [45, 143], [17, 164], [13, 173], [17, 191], [30, 205], [33, 228], [40, 234], [48, 253], [86, 281], [87, 306], [95, 342], [120, 390], [139, 410], [162, 416], [168, 422], [159, 436], [142, 482], [144, 496], [166, 507], [176, 506], [183, 498], [206, 444], [215, 414], [215, 381], [220, 367], [243, 383], [270, 418], [336, 469], [351, 473], [385, 467], [385, 290], [316, 204], [265, 149], [255, 121], [253, 95], [240, 91], [212.667, 92], [203, 81], [203, 65], [208, 58], [249, 38], [279, 31], [282, 10], [260, 5]]"
ff9,52510.jpg,159.5000,258.0000,319.0000,192.0000,"[[1, 206], [0, 349], [35, 347], [47, 353], [92, 354], [103, 348], [153, 342], [200, 321], [233, 317], [250, 310], [260, 301], [292, 293], [307, 284], [305, 256], [319, 229], [314, 206], [282, 182], [199, 176], [181, 162], [174, 162], [155, 172], [124, 192], [117, 201], [95, 208], [86, 205], [45, 172], [35, 171], [30, 174], [34, 183], [10, 207], [6, 204]]"
ff10,10500.jpg,269.5000,191.5000,483.0000,383.0000,"[[29, 186], [28, 199], [33, 213], [50, 220], [35, 254], [38, 278], [46, 282], [99, 283], [189, 370], [203, 369], [205, 362], [217, 354], [241, 357], [253, 349], [293.6, 344], [312, 345], [357, 357], [386, 354], [413, 362], [435, 375], [460, 379], [468, 383], [500, 383], [496, 364], [474, 346], [468, 290], [454, 271], [481, 231], [508, 230], [504, 209], [496, 202], [495, 185], [511, 174], [511, 145], [459, 165], [454, 143], [432, 121], [432, 102], [442, 97], [442, 88], [412, 85], [404, 76], [406, 71], [424, 62], [436, 50], [434, 45], [415, 41], [409, 33], [425, 6], [425, 0], [408, 0], [397, 24], [375, 50], [352, 50], [341, 41], [343, 30], [334, 25], [327, 25], [321, 31], [288, 31], [274, 19], [254, 14], [249, 15], [247, 23], [194, 32], [181, 40], [157, 34], [154, 39], [158, 47], [150, 55], [125, 59], [108, 74], [107, 89], [112, 112], [97, 117], [121, 140], [113.75, 148], [68, 150], [48, 156], [38, 166]]"
ff11,80315.jpg,190.5000,287.0000,341.0000,240.0000,"[[20, 238], [22, 258], [40, 283], [57, 273], [64, 264], [77, 280], [85, 284], [85, 312], [114, 342], [113, 367], [102, 378], [100, 389], [111, 396], [147, 405], [175, 407], [249, 401], [361, 292], [361, 284], [355, 278], [315, 251], [270, 206], [224, 174], [207, 167], [148, 169], [97, 183], [35, 220]]"
ff12,20215.jpg,255.5000,203.0000,511.0000,360.0000,"[[420, 23], [389, 36], [356, 41], [325, 40], [276, 54], [254, 56], [227, 68], [208, 67], [172, 79], [121, 85], [115, 95], [126, 109], [114, 121], [38, 114], [0, 91], [0, 122], [26, 136], [70, 171], [57, 185], [3, 190], [10, 209], [21, 211], [27, 228], [0, 235], [0, 259], [88, 242], [104, 242], [126, 252], [153, 254], [184, 271], [144, 349], [135, 377], [139, 379], [150, 375], [173, 355], [194, 372], [191, 383], [212, 383], [241, 356], [291, 289], [306, 298], [318, 296], [338, 273], [384, 248], [380, 231], [487, 173], [511, 147], [511, 138], [502, 138], [485, 140], [466, 149], [420, 89], [434, 74], [422, 70], [417, 64], [417, 59], [430, 45], [429, 26]]"
ff11,168924.jpg,285.5000,261.0000,435.0000,500.0000,"[[96, 102], [98, 175], [87, 205], [69, 279], [68, 308], [75, 366], [89, 423], [98, 449], [114, 476], [122.5, 478], [130, 494], [149, 493], [162, 485], [181, 462], [198, 474], [225, 484], [258, 485], [305, 442], [349, 412], [382, 511], [413, 511], [379, 416], [391, 416], [395, 422], [408, 425], [413, 422], [420, 395], [428, 386], [493, 375], [499, 370], [503, 355], [501, 349], [493, 345], [437, 354], [422, 351], [422, 345], [471, 290], [481, 264], [472, 262], [456, 274], [421, 223], [459, 182], [445, 172], [424, 167], [416, 159], [402, 116], [367, 60], [374, 31], [367, 29], [343, 49], [332, 49], [320, 36], [327, 21], [327, 13], [321, 11], [282, 44], [261, 45], [257, 62], [232, 60], [223, 73], [213, 72], [202, 65], [198, 47], [186, 45], [175, 51], [172, 58], [147, 79], [136, 75], [121, 76]]"
ff12,145012.jpg,190.5000,260.5000,381.0000,501.0000,"[[1, 202], [0, 216], [32, 322], [25, 339], [35, 361], [35, 373], [24, 394], [28, 415], [42, 410], [81, 367], [93, 380], [84, 478], [76, 511], [161, 511], [205, 446], [254, 386], [261, 397], [252, 450], [253, 463], [264, 491], [278, 500], [291, 503], [297, 498], [294, 412], [296, 394], [303, 385], [351, 440], [363, 438], [371, 419], [371, 405], [330, 353], [345, 345], [344, 319], [350, 300], [371, 275], [381, 270], [381, 255], [376, 252], [348, 200], [352, 178], [349, 164], [351, 138], [318, 111], [319, 73], [304, 71], [298, 76], [286, 56], [291, 25], [284, 10], [279, 10], [274, 21], [250, 105], [242, 113], [210, 92], [199, 90], [192, 97], [198, 111], [151, 158], [27, 179], [15, 185]]"
ff13,201362.jpg,249.0000,286.0000,474.0000,450.0000,"[[44, 175], [48, 211], [59, 214], [73, 210], [82, 217], [85, 226], [79, 237], [81, 267], [76, 279], [75, 301], [66, 318], [44, 313], [20, 325], [18, 336], [12, 342], [12, 399], [39, 413], [57, 433], [60, 467], [54, 480], [62, 511], [162, 509], [182, 492], [187, 481], [205, 486], [212, 500], [225, 500], [232, 510], [239, 510], [256, 502], [439, 495], [453, 489], [465, 476], [471, 461], [471, 438], [478, 426], [476, 396], [458, 372], [437, 359], [423, 355], [419, 345], [443, 298], [460, 287], [466, 254], [485, 228], [486, 162], [468, 148], [456, 127], [441, 130], [425, 128], [422, 131], [216, 104], [203, 94], [188, 72], [161, 61], [103, 87], [85, 111], [62, 167]]"
ff14,146029.jpg,191.5000,321.0000,383.0000,380.0000,"[[3, 171], [8, 189], [0, 192], [0, 245], [5, 270], [0, 286], [50, 367], [63, 395], [93, 408], [113, 440], [209, 452], [217, 457], [216, 494], [229, 511], [251, 511], [263, 466], [272, 453], [336, 461], [350, 470], [383, 476], [383, 301], [361, 291], [347, 266], [317, 249], [313, 219], [307, 212], [251, 190], [244, 183], [243, 168], [239, 165], [92, 133], [77, 134], [70, 144], [60, 145], [47, 134], [34, 131], [32, 139.5]]"
ff15,184954.jpg,189.5000,255.5000,379.0000,511.0000,"[[18, 30], [15, 48], [0, 57], [0, 511], [126, 511], [152, 508], [178, 476], [173, 453], [184, 429], [184, 395], [188, 381], [201, 373], [236, 420], [249, 431], [270, 432], [276, 424], [291, 436], [307, 437], [331, 424], [339, 415], [339, 397.75], [355, 383], [356, 367], [336, 344], [343, 336], [325, 315], [318, 278], [331.333, 270], [379, 272], [379, 187], [341, 197], [320, 176], [291, 155], [287, 140], [275, 120], [311, 87], [310, 72], [305, 68], [291, 68], [254, 93], [239, 97], [227, 84], [194, 64], [169, 54], [155, 68], [132, 44], [122, 0], [105, 0], [101, 18], [106, 30], [106, 50], [108, 59], [118, 71], [110, 79], [110, 90], [106, 94], [86, 95], [77, 83], [49, 67], [39, 32], [25, 26]]"
ff16,177372.jpg,190.5000,255.5000,381.0000,511.0000,"[[162, 0], [0, 0], [0, 511], [375, 511], [379, 504], [381, 505], [381, 184], [359, 187], [353, 181], [347, 181], [330, 152], [319, 142], [306, 139], [292, 126], [298, 116], [316, 106], [323, 91], [325, 63], [319, 22], [309, 15], [275, 32], [262, 51], [246, 60], [235, 77], [217, 89], [206, 103], [175, 120], [167, 116], [178, 85], [180, 47]]"
ff17,149278.jpg,142.0000,83.0000,234.0000,166.0000,"[[48, 56], [52, 64], [34, 126], [29, 128], [25, 137], [30, 145], [64, 140], [76, 143], [77, 148], [89, 149], [97, 156], [134, 166], [150, 166], [164, 160], [205, 158], [214, 161], [222, 151], [228, 122], [252, 116], [258, 105], [259, 88], [251, 51], [255, 35], [237, 13], [229, 14], [224, 0], [166, 0], [174, 12], [151, 20], [138, 20], [125, 14], [97, 13], [92, 15], [92, 20], [104, 32], [97, 40], [80, 40]]"
ff18,166821.jpg,250.0000,228.5000,500.0000,305.0000,"[[53, 149], [56, 164], [65, 168], [57, 217], [52, 218], [51, 228], [25, 273], [0, 300], [0, 330], [18, 320], [48, 290], [76, 278], [103, 271], [154, 273], [184, 288], [205, 312], [204, 350], [210, 358], [211, 369], [225, 381], [344, 381], [380, 372], [384, 356], [378, 348], [387, 334], [406, 333], [408, 322], [436, 298], [445, 298], [464, 314], [474, 313], [456, 278], [408, 238], [435, 220], [482, 219], [497, 216], [500, 212], [483, 200], [462, 197], [444, 184], [404.5, 177], [397, 154], [407, 147], [408, 136], [400, 134], [383, 141], [373, 141], [354, 134], [339, 107], [317, 89], [227, 76], [189, 86], [194, 94], [186, 101], [184, 112], [170, 124], [162, 125], [154, 115], [147, 114], [134.5, 124], [126, 125], [127, 132], [138, 144], [133, 149], [118, 141], [77, 135], [60, 136]]"
ff19,152498.jpg,190.5000,253.5000,381.0000,477.0000,"[[7, 18], [0, 39], [0, 492], [123, 492], [191, 458], [228, 453], [241, 459], [256, 459], [322, 442], [364, 410], [381, 389], [381, 183], [368, 180], [361, 173], [355, 142], [320, 134], [299, 115], [273, 107], [268, 101], [267, 91], [229, 89], [231, 69], [239, 58], [236, 48], [211, 49], [193, 57], [150, 57], [54, 29], [50, 24], [30, 18], [14, 15]]"
ff20,147628.jpg,191.5000,266.5000,383.0000,489.0000,"[[16, 54], [21, 81], [0, 95], [0, 475], [9, 511], [383, 511], [383, 103], [374, 107], [333, 108], [276, 100], [262, 94], [236, 93], [194, 82], [188, 80], [184, 59], [159, 61], [141, 46], [124, 44], [103, 22], [79, 23], [47, 45], [24, 48]]"
ff21,153648.jpg,245.5000,219.5000,457.0000,323.0000,"[[18, 158], [21, 189], [32, 204], [17, 218], [17, 227], [31, 232], [104, 241], [112, 265], [152, 326], [172, 346], [190, 350], [200, 363], [209, 363], [216, 353], [214, 333], [228, 328], [263, 370], [270, 373], [280, 372], [282, 357], [316, 343], [326, 379], [331, 381], [339, 373], [335, 345], [340, 334], [361, 331], [401, 315], [433, 286], [446, 281], [452, 274], [466, 281], [474, 280], [455, 258], [459, 250], [472, 247], [473, 241], [423, 215], [427, 203], [440, 199], [437, 193], [415, 186], [366, 161], [355, 129], [337, 105], [308, 100], [311, 115], [294, 133], [255, 79], [235, 58], [228, 59], [225, 67], [254, 104], [250, 111], [230, 117], [217, 129], [208, 119], [193, 132], [181, 123], [159, 117], [155, 119], [154, 127], [36, 154], [24, 153]]"
ff2,80190.jpg,277.0000,287.0000,274.0000,192.0000,"[[148, 241], [149, 256], [160, 285], [161, 311], [154, 337], [140, 359], [142, 364], [163, 361], [183, 345], [191, 345], [218, 354], [270, 363], [279, 363], [299, 353], [321, 375], [331, 377], [335, 383], [392, 383], [395, 381], [396, 371], [380, 342], [380, 334], [383, 331], [408, 333], [414, 329], [389, 307], [394, 296], [379, 278], [379, 258], [370, 235], [370, 231], [400, 214], [395, 202], [367, 208], [348, 207], [306, 191], [266, 191], [253, 205], [216, 218], [198, 210], [192, 194], [179, 193], [165, 210], [155, 216]]"
